Address,Tickets
0xe16fc543bc85a3547f0e3a31feecfb09ad1aaa36,120.0
0xdc1e5e4b8adacb60dc1726a66885cb3343eb654d,104.0
0x0efff79f17a52f09732c10b8c73c564fe20cf527,103.0
0xf793d992e5f7354c3d7de61ca04ce78b9a2fdcc6,103.0
0xcee00fb5b0e64afffc7621d5bca86629141890cb,102.0
0x3621f96aea9904da476727550ee205ca4c2f779c,100.0
0xa7e5878542aea47c2e9bc72e30d409367c255bb6,99.0
0xa66911f56c40050b977cf704e755d0bedba2cbf7,98.0
0xad70626dc64085a3a3d4d9465a21b30272d0eb65,97.0
0x91218d8f9bb60dd21bdf00591641491cd967c353,90.0
0xbeb4679b464091e9dbe45e3d374629e46430ba5d,80.0
0xc5d1747ac997f35b7c236ff702fe42f6d1380889,80.0
0x40930039d6c3e8c322e58e6d289245bfa826bfe4,80.0
0x0386d0eea3dddf2445d3546f9c9ada8d81753b8f,76.0
0xcf2b7c6bc98bfe0d6138a25a3b6162b51f75e05d,76.0
0x3621fd0db8dabc21d522851de01114cf82b7c21f,75.0
0xd8d10abf300356c7915c8d5db33f0fbdcfd603c7,75.0
0x68ef63572604c5d71cc858dd2fa4cef534cfad74,70.0
0x539edd96b903c6bfda5a54a28a74a85432309a88,67.0
0x778157d9945ad634f225aa8f93a82550f5fa5148,65.0
0xb967d330bd47a45b0746025ba3cf76b8a9988106,65.0
0xd76aa530b8c1f0039971eca13ca1850047271af0,62.0
0x147e88dddf6df6b440b37ce1d5507873d01445da,61.0
0x570d472cf7b187341c047b3844e8186c8f542290,61.0
0x8257577994c80aedb48281ac2819a286c520f1d5,60.0
0x5a26abd20bfd11eb957dbd75432e1370d1abea68,60.0
0x57e060078b1b9e67dd7d2df0debeab433aa411f9,59.0
0xac7edc96a7fad09844de7ccfb9f55e63b4afb3c0,58.0
0x4f8382f3d38108128e98b621f7370179dd99e1b6,57.0
0xbda279be4620249b3cc74c27946730c7f76b9302,56.0
0x4a91dc7db316fbe5f2b5c0732b7ab11b867daefc,55.0
0xb82ebf21085fb979c86af4e0a2ce998cff0891e8,55.0
0x35f34185f753d5fef739d46dba7a26b2bd88c83d,54.0
0xb627ab8781f28307fccf039a413fb9de185d8ee2,54.0
0x57bd640395fad33661629d2c8f3e672a8dc22c44,54.0
0xc9bbef851984ec91b009a5bb27efcb6ee8368a24,53.0
0x4925c8d00e2c94dd9b00d299b249d3fa6e1c2bf4,53.0
0x00698fc49926c4e56fe6937f88bc15ad793182da,53.0
0x0a2a335b7420db3bada6a13e354d465a3d6de2a4,53.0
0xcda8de8824a2e99ae8ce2095d43c8a405845ef71,50.0
0xbf59e40112157017b69be5734f8c702dcbd73336,49.0
