Address,Tickets
0x000000a85c7a32ee4ac25ddce67e20fc08634e6b,1.0
0x000000feee8780d16539eb78ad2f2702e8c3c844,20.0
0x0002fd0f1d0708fdf065d3625b2ee83d210d58d9,2.0
0x0004d1b59a303cef4d8fa01e4310dc168275d961,1.0
0x0006d68c49051d907be819adc59d5f196426685d,1.0
0x0006ff65741a0ff04030c02b97862872071b19f7,1.0
0x0007419b290d5688f28e0156413436d3ff1b7a5a,5.0
0x0007550d32a90c2e498b7261139e15ec873e8502,1.0
0x0009d01bb1e0ab058e443abd8eb7765b35bca206,1.0
0x0009d09470d46f059b13d955efc5e7448dd4cc91,2.0
0x000c1d0e2451f50a047b6e7e3f2c6cf7f4fa3d7a,12.0
0x000d44376de9c72985b48d69d7176dfdd12af58a,1.0
0x000f2d49dfac532f3ae26bfba5c06d0798b839fa,1.0
0x0010108d287e168d93c6c36a7ae1e48099969f16,5.0
0x00107a2a1e069a808e1d7a9943003409c323ede2,1.0
0x0010f46a470c7d7fa4cc552055b87700972577b7,1.0
0x00137d2333ccc90577e8f88149ec123061dae941,1.0
0x001412a62c228ab78ba7aa69eafca9418e694a3b,5.0
0x00145571ee8eeb0c80db9a1346dccf72705118e5,1.0
0x0015a3a68d9c879393a3f2025b79816b6c922881,1.0
0x00160e47a64d1f3a3114b7c0d9d3d8878205d6c4,1.0
0x00176c5f4a48e856c2c18c1896edabf9245977f0,1.0
0x001aba7087f49a135ffb121a40684416824e9c34,15.0
0x001f5fac6f139112d6b99051f0b9561bd6b15335,1.0
0x001f87bb8f3b0ff53efa85dfe0279d030f3bbc48,1.0
0x001fa2c9f5b1f0ea0ee5efad0090e61276539e72,10.0
0x001faf7f385307a76cd00585b1b26faf52ab1899,6.0
0x001fd093d89b24f7de35bc47b6d01c750f398707,7.0
0x00240554021e3ee2439c95ac6c97f01e920e0ede,1.0
0x0026ba8bec33f7c29c6b0b64ec49d5149cc3945c,1.0
0x002844ae6b76746980ce8bc65f409abe021582a9,1.0
0x002a150a61422d207d760067bf013e934c752856,1.0
0x002a6ca8027a8cbe9d0d5dfacafb049dc3a58d1a,1.0
0x002c7292813e3ee5fe173bdba1f12f0ed007db56,1.0
0x002d4505c2d066942773ca1c1c19faca78cb4999,1.0
0x002db48aa1665f772601b2dede8a67ff6b4eba7d,1.0
0x002e3dc2752544c28ee414929a0918a9e2f6c766,1.0
0x002edef7cbbf08ebcbfc22519ad743b664b75071,1.0
0x002f1952dacd70c932f7eae9c2e84744785b3e24,1.0
0x002f396ecf7163b4f4f2b5c353347229a7454b1b,1.0
0x0033e0926da2542c6b34eddd10cb743d2bc2b334,1.0
0x0034376ac971bb17d80f8b6404c0342a1f745b2d,1.0
0x003765c12a866ffe10e8786884393a49248d3641,1.0
0x00387184d12b5af9cae75d570703748caf14bc73,3.0
0x0039a086a6daec5f27052c95ec9f60dad3f008d8,1.0
0x003a9a3409fb0a02be696e199a559e5a48e6f8cc,1.0
0x00408f15bf50af7758e59a1016d18ea5f23fa3cd,1.0
0x00423ce266a935276a0fb8e316993a24b7a2672d,1.0
0x004249d2fb11c68ff087bb075ab432e7b69051f7,2.0
0x00434eeec10656a172a6c4cbe0ef989dc689bd48,1.0
0x0043571d9b0a00c95da18909b6775fcae66e4650,1.0
0x00448b57897c5189df8542344729224ce4bf5085,1.0
0x00457cc43e30b4dd064ad63d27d2cad78bdf18d8,1.0
0x004d92fc86542d31002d34b4d717c478f15c93ab,1.0
